"Phase Number","Start Time","Request Type","Latency","Response Code"
"1","1646377074490","POST","1363","201"
"1","1646377074490","POST","1363","201"
"1","1646377074490","POST","1363","201"
"1","1646377074490","POST","1363","201"
"1","1646377074490","POST","1363","201"
"1","1646377074490","POST","1368","201"
"1","1646377074490","POST","1370","201"
"1","1646377074490","POST","1387","201"
"1","1646377074491","POST","1386","201"
"1","1646377074489","POST","1399","201"
"1","1646377074491","POST","1405","201"
"1","1646377074489","POST","1408","201"
"1","1646377074489","POST","1409","201"
"1","1646377074489","POST","1415","201"
"1","1646377074489","POST","1421","201"
"1","1646377075854","POST","620","201"
"1","1646377075854","POST","631","201"
"1","1646377075877","POST","614","201"
"1","1646377075858","POST","639","201"
"1","1646377075896","POST","610","201"
"1","1646377075898","POST","615","201"
"1","1646377075910","POST","614","201"
"1","1646377075898","POST","632","201"
"1","1646377075860","POST","678","201"
"1","1646377075854","POST","696","201"
"1","1646377075854","POST","697","201"
"1","1646377075877","POST","674","201"
"1","1646377075854","POST","702","201"
"1","1646377075888","POST","691","201"
"1","1646377075904","POST","694","201"
"1","1646377076513","POST","628","201"
"1","1646377076474","POST","673","201"
"1","1646377076538","POST","634","201"
"1","1646377076497","POST","676","201"
"1","1646377076550","POST","629","201"
"1","1646377076485","POST","694","201"
"1","1646377076491","POST","693","201"
"1","1646377076579","POST","611","201"
"1","1646377076506","POST","694","201"
"1","1646377076524","POST","694","201"
"1","1646377076530","POST","694","201"
"1","1646377076556","POST","671","201"
"1","1646377076551","POST","676","201"
"1","1646377076551","POST","691","201"
"1","1646377076598","POST","676","201"
"1","1646377077141","POST","618","201"
"1","1646377077147","POST","621","201"
"1","1646377077172","POST","622","201"
"1","1646377077179","POST","615","201"
"1","1646377077173","POST","624","201"
"1","1646377077190","POST","625","201"
"1","1646377077179","POST","643","201"
"1","1646377077184","POST","646","201"
"1","1646377077200","POST","634","201"
"1","1646377077218","POST","629","201"
"1","1646377077227","POST","631","201"
"1","1646377077243","POST","630","201"
"1","1646377077274","POST","630","201"
"1","1646377077224","POST","701","201"
"1","1646377077227","POST","702","201"
"1","1646377077768","POST","614","201"
"1","1646377077759","POST","698","201"
"1","1646377077847","POST","631","201"
"1","1646377077858","POST","621","201"
"1","1646377077794","POST","687","201"
"1","1646377077794","POST","687","201"
"1","1646377077797","POST","698","201"
"1","1646377077834","POST","676","201"
"1","1646377077815","POST","695","201"
"1","1646377077822","POST","688","201"
"1","1646377077873","POST","640","201"
"1","1646377077830","POST","694","201"
"1","1646377077904","POST","636","201"
"1","1646377077925","POST","634","201"
"1","1646377077929","POST","697","201"
"1","1646377078382","POST","622","201"
"1","1646377078457","POST","636","201"
"1","1646377078481","POST","616","201"
"1","1646377078495","POST","621","201"
"1","1646377078479","POST","672","201"
"1","1646377078540","POST","620","201"
"1","1646377078481","POST","688","201"
"1","1646377078479","POST","696","201"
"1","1646377078559","POST","616","201"
"1","1646377078513","POST","676","201"
"1","1646377078524","POST","671","201"
"1","1646377078510","POST","685","201"
"1","1646377078510","POST","692","201"
"1","1646377078510","POST","693","201"
"1","1646377078626","POST","626","201"
"1","1646377079004","POST","698","201"
"1","1646377079097","POST","678","201"
"1","1646377079093","POST","688","201"
"1","1646377079160","POST","624","201"
"1","1646377079175","POST","619","201"
"1","1646377079116","POST","683","201"
"1","1646377079195","POST","637","201"
"1","1646377079151","POST","693","201"
"1","1646377079252","POST","611","201"
"1","1646377079169","POST","697","201"
"1","1646377079175","POST","693","201"
"1","1646377079189","POST","686","201"
"1","1646377079195","POST","687","201"
"1","1646377079202","POST","697","201"
"1","1646377079203","POST","696","201"
"1","1646377079702","POST","614","201"
"1","1646377079775","POST","615","201"
"1","1646377079781","POST","628","201"
"1","1646377079784","POST","635","201"
"1","1646377079794","POST","635","201"
"1","1646377079863","POST","621","201"
"1","1646377079866","POST","620","201"
"1","1646377079799","POST","692","201"
"1","1646377079832","POST","691","201"
"1","1646377079844","POST","691","201"
"1","1646377079876","POST","683","201"
"1","1646377079882","POST","681","201"
"1","1646377079869","POST","699","201"
"1","1646377079899","POST","678","201"
"1","1646377079899","POST","678","201"
"2","1646377080410","POST","649","201"
"2","1646377080423","POST","636","201"
"2","1646377080411","POST","649","201"
"2","1646377080421","POST","647","201"
"2","1646377080410","POST","662","201"
"2","1646377080422","POST","654","201"
"2","1646377080429","POST","649","201"
"2","1646377080429","POST","651","201"
"2","1646377080429","POST","660","201"
"2","1646377080446","POST","644","201"
"2","1646377080449","POST","643","201"
"2","1646377080426","POST","666","201"
"2","1646377080462","POST","636","201"
"2","1646377080450","POST","648","201"
"2","1646377080425","POST","675","201"
"2","1646377080419","POST","681","201"
"2","1646377080451","POST","653","201"
"2","1646377080456","POST","651","201"
"2","1646377080454","POST","654","201"
"2","1646377080459","POST","649","201"
"2","1646377080460","POST","654","201"
"2","1646377080464","POST","650","201"
"2","1646377080478","POST","637","201"
"2","1646377080410","POST","705","201"
"2","1646377080471","POST","645","201"
"2","1646377080474","POST","645","201"
"2","1646377080463","POST","660","201"
"2","1646377080415","POST","710","201"
"2","1646377080468","POST","659","201"
"2","1646377080428","POST","701","201"
"2","1646377080411","POST","718","201"
"2","1646377080479","POST","655","201"
"2","1646377080411","POST","723","201"
"2","1646377080467","POST","667","201"
"2","1646377080476","POST","658","201"
"2","1646377080476","POST","658","201"
"2","1646377080467","POST","667","201"
"2","1646377080474","POST","660","201"
"2","1646377080410","POST","726","201"
"2","1646377080411","POST","726","201"
"2","1646377080425","POST","717","201"
"2","1646377080431","POST","712","201"
"2","1646377080452","POST","691","201"
"2","1646377080454","POST","700","201"
"2","1646377080457","POST","698","201"
"2","1646377080452","POST","716","201"
"2","1646377080455","POST","715","201"
"2","1646377080463","POST","707","201"
"2","1646377080467","POST","703","201"
"2","1646377080467","POST","712","201"
"2","1646377080458","POST","721","201"
"2","1646377080461","POST","718","201"
"2","1646377080469","POST","710","201"
"2","1646377080465","POST","715","201"
"2","1646377080477","POST","705","201"
"2","1646377080466","POST","717","201"
"2","1646377080467","POST","718","201"
"2","1646377080470","POST","723","201"
"2","1646377080473","POST","729","201"
"2","1646377080474","POST","728","201"
"2","1646377080473","POST","731","201"
"2","1646377080472","POST","734","201"
"2","1646377080472","POST","735","201"
"2","1646377081073","POST","615","201"
"2","1646377081068","POST","633","201"
"2","1646377081059","POST","642","201"
"2","1646377081092","POST","612","201"
"2","1646377081080","POST","633","201"
"2","1646377081089","POST","628","201"
"2","1646377081100","POST","619","201"
"2","1646377081114","POST","613","201"
"2","1646377081107","POST","623","201"
"2","1646377081119","POST","613","201"
"2","1646377081098","POST","634","201"
"2","1646377081059","POST","681","201"
"2","1646377081104","POST","636","201"
"2","1646377081134","POST","610","201"
"2","1646377081115","POST","634","201"
"2","1646377081115","POST","636","201"
"2","1646377081125","POST","627","201"
"2","1646377081060","POST","692","201"
"2","1646377081127","POST","627","201"
"2","1646377081134","POST","622","201"
"2","1646377081078","POST","680","201"
"2","1646377081137","POST","626","201"
"2","1646377081134","POST","632","201"
"2","1646377081134","POST","632","201"
"2","1646377081134","POST","636","201"
"2","1646377081129","POST","641","201"
"2","1646377081091","POST","679","201"
"2","1646377081143","POST","630","201"
"2","1646377081134","POST","639","201"
"2","1646377081100","POST","674","201"
"2","1646377081076","POST","698","201"
"2","1646377081098","POST","686","201"
"2","1646377081154","POST","630","201"
"2","1646377081108","POST","680","201"
"2","1646377081093","POST","698","201"
"2","1646377081108","POST","685","201"
"2","1646377081179","POST","621","201"
"2","1646377081123","POST","677","201"
"2","1646377081183","POST","619","201"
"2","1646377081170","POST","633","201"
"2","1646377081193","POST","612","201"
"2","1646377081129","POST","678","201"
"2","1646377081114","POST","695","201"
"2","1646377081204","POST","605","201"
"2","1646377081116","POST","693","201"
"2","1646377081136","POST","673","201"
"2","1646377081185","POST","626","201"
"2","1646377081143","POST","670","201"
"2","1646377081182","POST","633","201"
"2","1646377081155","POST","671","201"
"2","1646377081142","POST","688","201"
"2","1646377081134","POST","700","201"
"2","1646377081170","POST","673","201"
"2","1646377081170","POST","674","201"
"2","1646377081179","POST","680","201"
"2","1646377081180","POST","683","201"
"2","1646377081168","POST","695","201"
"2","1646377081179","POST","684","201"
"2","1646377081179","POST","685","201"
"2","1646377081202","POST","672","201"
"2","1646377081206","POST","690","201"
"2","1646377081202","POST","694","201"
"2","1646377081207","POST","689","201"
"2","1646377081701","POST","615","201"
"2","1646377081704","POST","620","201"
"2","1646377081689","POST","638","201"
"2","1646377081701","POST","631","201"
"2","1646377081713","POST","621","201"
"2","1646377081717","POST","626","201"
"2","1646377081719","POST","630","201"
"2","1646377081749","POST","610","201"
"2","1646377081730","POST","631","201"
"2","1646377081766","POST","617","201"
"2","1646377081770","POST","619","201"
"2","1646377081784","POST","614","201"
"2","1646377081774","POST","631","201"
"2","1646377081732","POST","675","201"
"2","1646377081793","POST","616","201"
"2","1646377081771","POST","638","201"
"2","1646377081771","POST","638","201"
"2","1646377081732","POST","680","201"
"2","1646377081791","POST","622","201"
"2","1646377081740","POST","674","201"
"2","1646377081740","POST","678","201"
"2","1646377081727","POST","691","201"
